cycle,cycle_time_s,frequency_hz,nominal_frequency_hz,strain_amplitude,stress_amplitude_mpa,phase_lag_deg,E_star_mpa,E_storage_mpa,E_loss_mpa,tan_delta,fit_r2_min,reliable,steady_state
63,73.30700353233831,4.999900002000142,5.0,0.0010458490130400343,2.0048895375454094,5.385005390127413,1916.9971119613838,1908.5365586086139,179.9058968535368,0.0942637939221317,0.9939628828364829,True,False
64,73.50700348258707,5.000075001125111,5.0,0.001046298974203145,2.0034198532624496,5.584119082472659,1914.7680564135526,1905.6813507865925,186.32042058218397,0.09777102583560364,0.9940366716082989,True,False
65,73.7070034278607,4.999875003124811,5.0,0.0010634182782916207,2.043549493062424,5.39952999091348,1921.6798646205161,1913.1528648128337,180.83035681647092,0.09451955467978863,0.9934668617686161,True,True
66,73.90650360000001,5.025201384945359,5.0,0.0010411400192574256,1.994736099752677,5.46177464123576,1915.9153071220783,1907.2169005247256,182.3599693396173,0.09561574736960712,0.9938385053569098,True,True
67,74.10650347029703,4.97519863480547,5.0,0.001047171577889325,2.006445955980646,5.584094122419411,1916.062275128619,1906.9695088916608,186.44552643750242,0.09777058603620012,0.9939526555238203,True,True
68,74.3060035477387,5.050377515719431,5.0,0.00104338865783792,2.006790591975329,5.556689539038929,1923.3394736470902,1914.3014697790265,186.23805650544327,0.09728773625553411,0.9937227528871957,True,True
69,74.50500358706468,5.000075001125111,5.0,0.0010419003407033188,2.0011140023394973,5.589535973602675,1920.6385910083072,1911.5063484624595,187.0723845416261,0.09786647305257436,0.9938648015702491,True,True
70,74.704503475,5.025176132423363,5.0,0.0010362430638501867,1.992563845405181,5.510554051041303,1922.8730352141135,1913.9865282661262,184.6517781374417,0.09647496228968608,0.9937667461038144,True,True
71,74.90350357,5.024999371875087,5.0,0.0010378812967201671,1.9947349114773445,5.670158639645746,1921.9297214247456,1912.5260339215222,189.88950383897674,0.0992872779094251,0.9936832756692394,True,True
72,75.10450354411765,4.926229710091349,5.0,0.0010513159330290906,2.017834732312505,5.842247001165429,1919.3419113307305,1909.3727047216719,195.36951413807842,0.1023213088020745,0.9937090219709801,True,True
73,75.30550357,5.024999371875087,5.0,0.0010362235271642727,1.9884658152401005,5.576783889366023,1918.9545142655968,1909.8718312744093,186.48328591283126,0.0976417803850197,0.9937306693599419,True,True
74,75.50450366,5.025176132423363,5.0,0.0010345565346601127,1.991916104623793,5.504116799593691,1925.381589009252,1916.5042496700378,184.67735186664638,0.09636156658585131,0.9936534381560201,True,True
75,75.70400351243781,5.000075001125111,5.0,0.001040628419066297,1.9952717664213253,5.638040409080949,1917.371974341794,1908.0964810765522,188.3696018327463,0.09872121441493763,0.993715234022391,True,True
76,75.90400364676616,4.999900001999786,5.0,0.0010406651712143878,1.993782520685938,5.351980448269301,1915.8732086318648,1907.5209345821543,178.7009672166945,0.09368230983836581,0.9936400562620726,True,True
77,76.103503595,5.025176132423722,5.0,0.0010394380530477684,1.9988134655997776,5.2192488172411435,1922.9750726741195,1915.0022140447506,174.92755737658447,0.091345877353903,0.9938014606502745,True,True
78,76.30300352238807,5.000075001124756,5.0,0.0010404157701060274,1.9963564170740415,5.263947085878042,1918.806379559775,1910.7140525698528,176.0390057668499,0.09213257500780021,0.9937668149615143,True,True
79,76.72000364724408,1.5772796027779228,2.0,0.00034852126480052685,0.6787825514088599,0.018119583471856812,1947.6072766961731,1947.607179304339,0.6159237614386791,0.00031624640121663517,0.7998747012787581,False,False
80,77.08700364356436,10.000200004000144,10.0,0.00042814959772068844,0.8672878196595035,5.351609028123227,2025.6653848949668,2016.8356952049357,188.92863760927662,0.09367577044498863,0.9946175826175914,True,False
81,77.18700361386138,9.99940003599708,10.0,0.0004385684683297764,0.8767402856127837,5.76159089021891,1999.095577827837,1988.9966066148095,200.6878874411346,0.10089905974384598,0.9945793820874103,True,False
82,77.28650372999999,10.101112132446591,10.0,0.00042683010348423735,0.8582960474782805,4.578747324064199,2010.8610907992738,2004.443544264702,160.52540093706384,0.08008477035752583,0.9940129980927517,True,False
83,77.38600369306931,10.000100001000327,10.0,0.00043778656855837384,0.8686310253754743,4.87223102812363,1984.14270276922,1976.973156558248,168.52122477735966,0.08524203994289006,0.9946932260807497,True,False
84,77.4860036039604,10.000200004000144,10.0,0.000429089996769058,0.8685097402392434,4.885600446233916,2024.0736134118902,2016.7196108634594,172.38330449612266,0.08547708048632338,0.9946608087939589,True,False
85,77.5865036372549,9.901186162101814,10.0,0.00044069809667270755,0.8860013127850568,4.518467923499947,2010.4496013811056,2004.2011090111769,158.38407221628955,0.07902603760878683,0.9947293744093381,True,True
86,77.68700361386138,9.99940003599708,10.0,0.0004330258794365634,0.8736114874603336,5.223800127564714,2017.4579140559524,2009.0787350398564,183.68198441231254,0.09142597609977123,0.9942461742239711,True,True
87,77.78700383168317,10.000100001000327,10.0,0.0004329052623644198,0.8743454282183499,5.429137353145118,2019.7154071144685,2010.6549189017358,191.09453899004453,0.09504094272647472,0.9935031516682793,True,True
88,77.88600373737374,10.204185756997363,10.0,0.0004194172746548891,0.8389653806073845,5.844472312441068,2000.311935882264,1989.9142552930527,203.68872677334156,0.10236055459753692,0.9937219646609818,True,True
89,77.98550369607844,9.901186162103206,10.0,0.00043165669676594387,0.8794546404618618,4.792775155710149,2037.3937136870748,2030.269768693344,170.22870175585643,0.0838453610356487,0.9945317572804567,True,True
90,78.08600366336634,10.000100000998906,10.0,0.0004315416514830263,0.8671252099223287,5.423267318014845,2009.366203568962,2000.3716092069708,189.91041341605563,0.09493756687105946,0.994069296053055,True,True
91,78.18600364356435,10.000200004000144,10.0,0.00043932401758937396,0.8725349379293927,4.835404258945342,1986.0852195541265,1979.0166682204585,167.41423546687525,0.0845946566066141,0.9940612077096629,True,True
92,78.28600377227723,9.999400035998502,10.0,0.0004322225135976628,0.8689150178769526,4.94835785255612,2010.3418737826044,2002.849026312505,173.4076909563206,0.08658051040201757,0.9940042780238862,True,True
93,78.38600377227723,10.000100001000327,10.0,0.0004321622295414489,0.8697016435432767,4.761999641209594,2012.4425136969617,2005.4958395552708,167.0667784493553,0.08330447520968343,0.9938841747065387,True,True
94,78.48600368316832,10.000200004000144,10.0,0.00043337509002254037,0.8693824901895902,4.701861221102714,2006.0739765739017,1999.3229851015979,164.43965680900382,0.08224766985342673,0.9935375242480483,True,True
95,78.5850036969697,10.204081632651688,10.0,0.000418199937663928,0.8373122864949697,5.0074412704828966,2002.181758257092,1994.5401720274501,174.7606799774199,0.08761953377944535,0.9938405927049153,True,True
96,78.68450365686273,9.901186162103206,10.0,0.00043873357106970955,0.8743912124266447,5.138206487222929,1992.9890714647738,1984.9803777537322,178.4890442314918,0.08991980285138927,0.9941970021370115,True,True
97,78.78500372277226,9.99940003599708,10.0,0.000443915265394923,0.8757316081435442,5.01926687245301,1972.744972769661,1965.180154450309,172.59689493913424,0.08782751777147488,0.9947252365998839,True,True
98,78.88450378,10.101112132446591,10.0,0.00042357865705532885,0.8489401988003242,4.316988767014002,2004.2090994434445,1998.5228731372006,150.8656350509684,0.07548857062323515,0.9939305839301475,True,True
